[00:00.000 --> 00:23.800]  Wie bist du, meine Königin? \n 여왕님은 그 얼마나 기쁨이 가득하신지!  
[00:23.800 --> 00:38.840]  Durch sanfte Güte, wonnevoll, du lächle nur, \n 온후하고 자애로운 나의 여왕님은, 그저 웃기만 하셔도  
[00:38.840 --> 00:53.740]  Lenzdüfte wehn durch mein Gemüte, wonnevoll. \n 봄바람 불어 내 온 맘은 희락이구나!  
[00:53.800 --> 01:00.800]  Wonnevoll. \n 희락이구나!  
[01:00.800 --> 01:13.800]  Wonnevoll. \n 희락이구나!  
[01:13.800 --> 01:21.800]  Frisch aufgeblühter Rosen Glanz \n 막 피어난 장미빛인들  
[01:21.800 --> 01:23.780]  Vergleich ich ihn dem deinigen? \n 당신의 광채에 비기리,  
[01:23.780 --> 01:30.780]  Ach, über alles, was da blüht, ist deine Blüte \n 꽃 피는 모든 것보다 나으니  
[01:30.780 --> 01:42.780]  Wonnevoll! \n 당신의 피어남이 희락이구나!  
[01:42.780 --> 01:50.780]  Wonnevoll. \n 희락이구나!  
[01:50.780 --> 01:52.780]  Wonnevoll. \n 희락이구나!  
[01:52.780 --> 01:53.780]  Wonnevoll. \n 희락이구나!  
[01:53.780 --> 01:56.780]  Frisch aufgeblühter Rosen Glanz \n 막 피어난 장미빛인들  
[01:56.780 --> 01:57.780]  Vergleich ich ihn dem deinigen? \n 당신의 광채에 비기리,  
[01:57.780 --> 01:59.780]  Ach, über alles, was da blüht, ist deine Blüte \n 꽃 피는 모든 것보다 나으니  
[01:59.780 --> 02:08.780]  Wonnevoll! \n 당신의 피어남이 희락이구나!  
[02:08.780 --> 02:15.780]  Durch tote Wüsten wandle hin, \n 죽음의 광야를 거니신대도  
[02:15.780 --> 02:20.780]  Und grüne Schatten breiten sich, \n 녹빛의 그늘 펼쳐지리니  
[02:20.780 --> 02:22.780]  Und grüne Schatten breiten sich, \n 녹빛의 그늘 펼쳐지리니  
[02:22.780 --> 02:28.780]  Ob fürchterliche Schwüle dort \n 그 지독한 혹서도  
[02:28.780 --> 02:42.780]  Ohn Ende brüte, wonnevoll! \n 끝없는 열기마저 희락이구나!  
[02:42.780 --> 02:48.780]  Wonnevoll, wonnevoll, \n 희락이구나, 희락이구나,  
[02:48.780 --> 02:49.780]  Wonnevoll. \n 희락이구나!  
[02:49.780 --> 02:59.780]  Lass mich vergehn in deinem Arm! \n 당신 품 속에서 죽게 해 주오!  
[02:59.780 --> 03:19.780]  Lass mich vergehn in deinem Arm! \n 당신 품 속에서 죽게 해 주오!  
[03:19.780 --> 03:29.160]  Es ist ihm ja selbst der Tod. \n 제 아무리 쓰디쓴 사멸의 고통  
[03:29.780 --> 03:41.780]  Ob auch die herbste Todesqual die Brust durchwüte. \n 가슴 속 날뛰어도,  
[03:41.780 --> 03:48.780]  Wonnevoll! \n 희락이구나!  
[03:48.780 --> 03:58.780]  Wonnevoll! \n 희락이구나!  
[03:59.780 --> 04:09.780]  Es ist ihm ja selbst der Tod. \n 제 아무리 쓰디쓴 사멸의 고통  
[04:09.780 --> 04:19.780]  Ob auch die herbste Todesqual. \n 제 아무리 쓰디쓴 사멸의 고통  
[04:19.780 --> 04:25.780]  Es ist ihm ja selbst der Tod. \n 제 아무리 쓰디쓴 사멸의 고통  
[04:25.780 --> 04:27.780]  Ob auch die herbste Todesqual. \n 제 아무리 쓰디쓴 사멸의 고통  
